0,timeStamp,rawAltitude,filteredAltitude,speed,message,
1,59062,-0.4,-0.3,0.01,,
1,59162,-0.1,-0.34,0.03,,
1,59262,-0.4,-0.39,0.04,,
1,59362,-0.4,-0.43,0.04,,
1,59462,-0.69,-0.46,0.04,,
1,59561,0,-0.46,0.02,,
1,59662,-0.2,-0.45,0.01,,
1,59762,-0.3,-0.43,0.01,,
1,59862,-0.5,-0.39,0.02,,
1,59962,-0.4,-0.36,0.03,,
1,60062,-0.2,-0.33,0.03,,
1,60162,-0.2,-0.3,0.03,,
1,60262,-0.4,-0.29,0.02,,
1,60362,-0.1,-0.28,0.02,,
1,60462,-0.3,-0.27,0.01,,
1,60562,-0.3,-0.27,0.01,,
1,60662,-0.5,-0.27,0,,
1,60762,-0.3,-0.27,0,,
1,60862,-0.3,-0.28,0,,
1,60962,-0.4,-0.3,0.01,,
1,61062,-0.69,-0.32,0.02,,
1,61162,-0.5,-0.35,0.02,,
1,61262,-0.5,-0.38,0.03,,
1,61362,-0.5,-0.42,0.03,,
1,61462,0,-0.45,0.03,,
1,61562,-0.5,-0.46,0.03,,
1,61662,-0.5,-0.47,0.02,,
1,61762,-0.5,-0.46,0,,
1,61862,-0.5,-0.45,0.01,,
1,61962,-0.59,-0.44,0.01,,
1,62062,-0.2,-0.43,0.01,,
1,62162,-0.2,-0.43,0.01,,
1,62262,-0.3,-0.42,0.01,,
1,62362,-0.59,-0.41,0.01,,
1,62462,-0.59,-0.4,0.01,,
1,62562,0.1,-0.38,0.01,,
1,62662,-0.1,-0.36,0.02,,
1,62763,-0.1,-0.34,0.02,,
1,62862,-0.2,-0.31,0.03,,
1,62962,0.39,-0.25,0.04,,
1,63063,-0.3,-0.19,0.05,,
1,63162,-0.5,-0.15,0.05,,
1,63262,0.1,-0.11,0.05,,
1,63362,-0.4,-0.08,0.04,,
1,63462,-0.3,-0.09,0.02,,
1,63561,0,-0.1,0,,
1,63662,-0.4,-0.13,0.02,,
1,63762,-0.1,-0.17,0.03,,
1,63862,-0.59,-0.2,0.03,,
1,63962,-0.4,-0.24,0.04,,
1,64062,0.2,-0.27,0.03,,
1,64162,-0.5,-0.29,0.03,,
1,64262,-0.3,-0.3,0.02,,
1,64362,-0.1,-0.3,0.01,,
1,64462,-0.1,-0.29,0,,
1,64562,-0.69,-0.28,0.01,,
1,64662,-0.3,-0.27,0.01,,
1,64762,-0.1,-0.26,0.01,,
1,64862,-0.2,-0.26,0.01,,
1,64962,0,-0.26,0,,
1,65062,-0.3,-0.25,0,,
1,65162,-0.1,-0.24,0.01,,
1,65262,-0.2,-0.22,0.01,,
1,65362,0.49,-0.18,0.02,,
1,65462,0,-0.14,0.03,,
1,65562,-0.5,-0.11,0.04,,
1,65662,-0.4,-0.08,0.03,,
1,65762,-0.3,-0.07,0.03,,
1,65862,-0.3,-0.08,0.01,,
1,65961,0,-0.11,0.01,,
1,66062,0,-0.15,0.03,,
